problem,uuid,problem_type,question_type,source,answer
"2. Condition A: $\sqrt{1+\sin \theta}=a$.
Condition B: $\sin \frac{\theta}{2}+\cos \frac{\theta}{2}=a$.
(A) A is a sufficient and necessary condition for B;
(B) A is a necessary condition for B;
(C) A is a sufficient condition for B;
(D) A is neither a necessary condition nor a sufficient condition for B.",e4d1cb3e-3175-5500-a755-3b37706410c4,Algebra,MCQ,olympiads,D
"4) On Monday, I bought some stocks that lost $10 \%$ of their value on Tuesday and gained $10 \%$ on Wednesday compared to Tuesday. I immediately sold my stocks. Compared to the initial price, the final price is
(A) the same
(B) decreased by $1 \%$
(C) increased by $1 \%$

(D) decreased by $10 \%$

(E) increased by $10 \%$",02cfaf79-7ed9-5235-a092-934a59d9a9e8,Algebra,MCQ,olympiads,B
"2. Condition A: $\sqrt{1+\sin \theta}=a$; Condition B: $\sin \frac{\theta}{2}+\cos \frac{\theta}{2}=a$. Then
A. A is a sufficient and necessary condition for B
B. A is a necessary condition for B
C. A is a sufficient condition for B
D. A is neither a necessary condition nor a sufficient condition for B",22680ebd-0c89-5b94-bd4e-19a331b5209e,Algebra,MCQ,olympiads,D
"2・16 Let $x_{1}$ and $x_{2}$ be the two distinct real roots of the equation $x^{2} + px + 4 = 0$. Determine which of the following conclusions is correct:
(A) $\left|x_{1}\right| > 2$ and $\left|x_{2}\right| > 2$.
(B) $\left|x_{1} + x_{2}\right| > 4$.
(C) $\left|x_{1} + x_{2}\right| < 4$.
(D) $\left|x_{1}\right| = 4$ and $\left|x_{2}\right| = 1$.
(China Beijing Junior High School Mathematics Competition, 1982)",4705a367-ff95-5224-9eda-c023fe7a7fc3,Algebra,MCQ,olympiads,B
"Which is the largest sum?
(A) $\frac{1}{4}+\frac{1}{5}$
(B) $\frac{1}{4}+\frac{1}{6}$
(C) $\frac{1}{4}+\frac{1}{3}$
(D) $\frac{1}{4}+\frac{1}{8}$
(E) $\frac{1}{4}+\frac{1}{7}$",152cb324-6102-5984-8482-103f78b7be41,Algebra,MCQ,olympiads,C
"6 If real numbers $x, y$ satisfy $(x-3)^{2}+4(y-1)^{2}=4$, then the maximum and minimum values of $\frac{x+y-3}{x-y+1}$ are ( ).
(A) 1,0
(B) $0,-1$
(C) $1,-1$
(D) $\frac{1}{2},-\frac{1}{2}$",bce319a7-8012-5011-a292-3350969a1c2a,Algebra,MCQ,olympiads,C
"11. How many of the following four equations has a graph that does not pass through the origin?
$$
y=x^{4}+1 \quad y=x^{4}+x \quad y=x^{4}+x^{2} \quad y=x^{4}+x^{3}
$$

A 0
B 1
C 2
D 3
E 4",d30049de-3190-53ed-b83b-809efdbe3636,Algebra,MCQ,olympiads,B
"A2. For the line with the equation $\frac{3 x}{2}-\frac{y}{3}=1$, it is true that:
(A) it intercepts the $x$-axis at $\frac{3}{2}$ and the $y$-axis at $-\frac{1}{3}$
(B) it intercepts the $x$-axis at 2 and the $y$-axis at -3
(C) it intercepts the $x$-axis at $\frac{2}{3}$ and the $y$-axis at 3
(D) it intercepts the $x$-axis at $\frac{2}{3}$ and the $y$-axis at -3
(E) it does not intersect the $x$-axis",0dae273d-95fe-574e-917e-63e30de76e6d,Algebra,MCQ,olympiads,D
"5. Given the function $f(x)=\left\{\begin{array}{l}2 x^{2}+4 x+1, x<0, \\ \frac{2}{\mathrm{e}^{x}}, x \geqslant 0,\end{array}\right.$ then the number of points on the graph of $y=f(x)(x \in \mathbf{R})$ that are symmetric with respect to the origin $O$ is
A. 0 pairs
B. 1 pair
C. 2 pairs
D. 3 pairs",66c275e8-db6c-58d4-82ab-8cad321b3ec6,Algebra,MCQ,olympiads,C
"$12 \cdot 29$ If $S$ is the set of points $z$ in the complex plane such that $(3+4i)z$ is a real number, then $S$ is a
(A) right triangle.
(B) circle.
(C) hyperbola.
(D) line.
(E) parabola.
(42nd American High School Mathematics Examination, 1991)",2eaa992a-be58-5762-b127-e3f3fe475620,Algebra,MCQ,olympiads,D
"12.15 Let $\approx, w, \lambda$ be complex numbers, $|\lambda| \neq 1$, and consider the equation $\bar{z}-\lambda z=w$ in $z$. There are four conclusions:
I. $z=\frac{\bar{\lambda} w+\bar{w}}{1-|\lambda|^2}$ is a solution to this equation;
II. This equation has only one solution;
III. This equation has two solutions;
N. This equation has infinitely many solutions.

Then $\square$
(A) Only I and II are correct.
(B) Only I and III are correct.
(C) Only I and N are correct.
(D) None of (A), (B), (C) are correct.
(China High School Mathematics League, 1985)",3dd41285-c047-516a-8156-37b185699cf5,Algebra,MCQ,olympiads,A
"$12 \cdot 24$ Consider the following equations:
( I ) $\sqrt{a^{2}+b^{2}}=0$;
( II ) $\sqrt{a^{2}+b^{2}}=a b$;
(III) $\sqrt{a^{2}+b^{2}}=a+b$;
(IV) $\sqrt{a^{2}+b^{2}}=a-b$.

Where $a, b$ represent real or complex numbers, and there are solutions other than $a=0$ and $b=0$ for the equation(s):
(A) ( I ), ( II ), ( III ), (IV).
(B) Only ( II ), (III), (IV).
(C) Only ( I ), (III),(IV).
(D) Only (III), (IV).
(E) Only ( I ).
(17th American High School Mathematics Examination, 1966)",bbb804e8-f578-5e46-a200-660da7558ed3,Algebra,MCQ,olympiads,A
"A1 Which of the following functions has the greatest amplitude and the greatest fundamental period?
(A) $f(x)=3 \sin 3 x$
(B) $f(x)=2 \sin \frac{x}{2}$
(C) $f(x)=-3 \sin \frac{x}{4}$
(D) $f(x)=3 \cos 2 x$
(E) $f(x)=3 \sin 4 x$",b6b00332-0263-524a-a1c9-77a79d9699b7,Algebra,MCQ,olympiads,C
"(4) The monotonic increasing interval of the function $f(x)=\log _{0.3}\left(x^{2}+x-2\right)$ is $(\quad)$.
(A) $(-\infty,-2)$
(B) $(-\infty, 1)$
(C) $(-2,1)$
(D) $(1,+\infty)$",9170db3a-aad1-5a9a-b49d-da96cf54456b,Algebra,MCQ,olympiads,A
"9 -12 Let $m>n>1, \quad a=(\lg m n)^{\frac{1}{2}}-(\lg m)^{\frac{1}{2}}, \quad b=(\lg m)^{\frac{1}{2}}$ $-\left(\lg \frac{m}{n}\right)^{\frac{1}{2}}$. Then the relationship between $a$ and $b$ is
(A) $a>b$.
(B) $a=b$.
(C) $a<b$.
(D) Uncertain
(China Sichuan Province Junior High School Mathematics Competition, 1990)",360db5a1-f0d0-5419-8460-b144c99a6f3f,Algebra,MCQ,olympiads,C
"1. Let $p, q$ be natural numbers, condition A: $p^{3}-q^{3}$ is even; condition B: $p+q$ is even, then
A. A is a sufficient but not necessary condition for B
B. A is a necessary but not sufficient condition for B
C. A is a necessary and sufficient condition for B
D. A is neither a sufficient condition nor a necessary condition for B",e430037f-c9a3-5cd9-9cb2-e0623ad242c5,Algebra,MCQ,olympiads,C
"1. Let set $A=\left\{x \mid x=a^{2}+1, a \in \mathbf{N}_{+}\right\}, B=\left\{y \mid y=b^{2}-4 b+5, b \in\right.$ $\left.\mathbf{N}_{+}\right\}$, then the correct relationship among the following is ( ).
A. $A=B$
B. $A \supset B$
C. $A \subset B$
D. $A \cap B=\varnothing$",09550c45-f87a-5716-9099-6ae03f692047,Algebra,MCQ,olympiads,C
"$4 \cdot 31$ Real numbers $x_{1}, x_{2}, x_{3}, x_{4}, x_{5}$ satisfy the system of equations
$$
\left\{\begin{array}{l}
x_{1}+x_{2}+x_{3}=a_{1}, \\
x_{2}+x_{3}+x_{4}=a_{2}, \\
x_{3}+x_{4}+x_{5}=a_{3}, \\
x_{4}+x_{5}+x_{1}=a_{4}, \\
x_{5}+x_{1}+x_{2}=a_{5} .
\end{array}\right.
$$

where $a_{1}, a_{2}, a_{3}, a_{4}, a_{5}$ are real constants, and $a_{1}>a_{2}>a_{3}>a_{4}>a_{5}$. Then the order of $x_{1}, x_{2}, x_{3}, x_{4}, x_{5}$ is
(A) $x_{1}>x_{2}>x_{3}>x_{4}>x_{5}$.
(B) $x_{4}>x_{2}>x_{1}>x_{3}>x_{5}$.
(C) $x_{3}>x_{1}>x_{4}>x_{2}>x_{5}$.
(D) $x_{5}>x_{3}>x_{1}>x_{4}>x_{2}$.
(China Junior High School Mathematics League, 1993)",3f81b51d-1716-53fe-82c2-999be7f6d958,Algebra,MCQ,olympiads,C
"2. Condition A: $\sqrt{1+\sin \theta}=a$. Condition B: $\sin \frac{\theta}{2}+\cos \frac{\theta}{2}=a$.
(A) A is a necessary and sufficient condition for B;
(B) A is a necessary condition for B;
(C) A is a sufficient condition for B;
(D) A is neither a necessary condition nor a sufficient condition for B.",bf7e9286-8b72-5f42-ae6b-d26a3883ad75,Algebra,MCQ,olympiads,D
"3. A non-constant function defined on $\mathbf{R}$ satisfies: (1) $f(10+x)$ is an even function (2) $f(5-x)=f(5+x)$, then $f(x)$ must be
A. an even function and a periodic function
B. an even function but not a periodic function
C. an odd function and a periodic function
D. an odd function but not a periodic function",7d974a89-ee6b-5459-9c0f-d8de53d1698f,Algebra,MCQ,olympiads,A
"1. Given the sequence $\left\{x_{n}\right\}$ satisfies $x_{n+1}=x_{n}-x_{n-1}(n \geqslant 2), x_{1}=a, x_{2}=b$, and let $S_{n}=$ $x_{1}+x_{2}+\cdots+x_{n}$. Then which of the following conclusions is correct?
A. $x_{100}=-a, S_{100}=2 b-a$
B. $x_{100}=-b, S_{100}=2 b-a$
C. $x_{100}=-b, S_{100}=b-a$
D. $x_{100}=-a, S_{100}=b-a$",2c9a02a3-aefd-5d07-a41f-e62d5e180f38,Algebra,MCQ,olympiads,A
"4. If in the sequence $\left\{a_{n}\right\}$, $a_{n}=\frac{100^{n}}{n!}$, then
A. $\left\{a_{n}\right\}$ is an increasing sequence
B. $\left\{a_{n}\right\}$ is a decreasing sequence
C. It becomes decreasing from a certain term
D. It becomes increasing from a certain term",bb3ef7ba-d1b9-5093-84f8-a3644727c7cb,Algebra,MCQ,olympiads,C
"A4. Which of the following equations is not true?
(A) $\log _{4} 2=2$
(B) $\log _{3} \sqrt{3}=\frac{1}{2}$
(C) $\log _{10} 0.1=-1$
(D) $\log _{7} 7=1$
(E) $\log _{5} 1=0$",ac737e3d-2dd1-5b16-be44-60fa8b8e9422,Algebra,MCQ,olympiads,A
"Example I If the vectors $\boldsymbol{a}=(1,1), \boldsymbol{b}=(1,-1), \boldsymbol{c}=(-1,2)$, then $\boldsymbol{c}$ equals
A. $-\frac{1}{2} \boldsymbol{a}+\frac{3}{2} \boldsymbol{b}$
B. $\frac{1}{2} a-\frac{3}{2} b$
C. $\frac{3}{2} \boldsymbol{a}-\frac{1}{2} \boldsymbol{b}$
D. $-\frac{3}{2} a+\frac{1}{2} b$",22aef4af-4bd0-5446-8ecd-a6ceb6928eda,Algebra,MCQ,olympiads,B
"Example 2 (1999 National High School League Question) Given a geometric sequence $\left\{a_{n}\right\}$ with common ratio $q(q \neq 1)$, let $b_{1}=a_{1}+$ $a_{2}+a_{3}, b_{2}=a_{4}+a_{5}+a_{6}, \cdots, b_{n}=a_{3 n-2}+a_{3 n-1}+a_{3 n}, \cdots$ Then the sequence $\left\{b_{n}\right\}$ is ( ).
A. An arithmetic sequence
B. A geometric sequence with common ratio $q$
C. A geometric sequence with common ratio $q^{3}$
D. Neither an arithmetic sequence nor a geometric sequence",9e94103c-4089-5596-a0df-b9974fd5dc8f,Algebra,MCQ,olympiads,C
"$6 \cdot 35$ If $\lg 3=0.47712$, then which of the following four logarithmic values is incorrect?
(A) $\lg 1.5=0.17609$.
(B) $\lg 5=0.69897$.
(C) $\lg 2=0.30103$.
(D) $\lg 7=0.84519$.
(1st ""Hope Cup"" National Mathematics Invitational, 1991)",4c5297de-7ded-531f-9315-e500a42aed1e,Algebra,MCQ,olympiads,D
"(4) Among the following four propositions:
(1) Given $x \in \mathbf{N}^{*}$, if $x$ is a prime number, then $x$ is an odd number;
(2) If the product of two real numbers is not irrational, then these two numbers are not irrational;
(3) If $a, b \in \mathbf{R}$, and $a+b>0, a b>0$, then $a>0$ and $b>0$;
(4) $\frac{b}{a}<0$ is a necessary but not sufficient condition for the quadratic equation $a x^{2}+b x+c=0(a, b, c \in \mathbf{R}, a \neq 0)$ to have two distinct positive roots. The true propositions are ( ).
(A) (2), (3)
(B) (3), (4)
(C) (1), (4)
(D) (2), (4)",df9750c5-1728-5493-bd10-d6c78a286860,Algebra,MCQ,olympiads,B
"Which of the following has the largest value?
(A) $4^{2}$
(B) $4 \times 2$
(C) $4-2$
(D) $\frac{4}{2}$
(E) $4+2$",ffb9ae3d-3c12-5706-9343-7fe1f7e4f190,Algebra,MCQ,olympiads,A
"$31 \cdot 53$ satisfies the system of equations
$$
\left\{\begin{array}{l}
x^{2}-3 x y+2 y^{2}-z^{2}=31, \\
-x^{2}+6 y z+2 z^{2}=44, \\
x^{2}+x y+8 z^{2}=100 .
\end{array}\right.
$$

The number of ordered triples $(x, y, z)$ is
(A) 0.
(B) 1.
(C) 2.
(D) A finite number greater than 2.
(E) Infinitely many.
(31st American High School Mathematics Examination, 1980)",28352a8d-c563-5016-9822-b7f02e53fbdf,Algebra,MCQ,olympiads,A
"$7 \cdot 8 \frac{\sin 10^{\circ}+\sin 20^{\circ}}{\cos 10^{\circ}+\cos 20^{\circ}}$ can be simplified to
(A) $\operatorname{tg} 10^{\circ}+\operatorname{tg} 20^{\circ}$.
(B) $\operatorname{tg} 30^{\circ}$.
(C) $\frac{1}{2}\left(\operatorname{tg} 10^{\circ}+\operatorname{tg} 20^{\circ}\right)$.
(D) $\operatorname{tg} 15^{\circ}$.
(E) $\frac{1}{4} \operatorname{tg} 60^{\circ}$.
(35th American High School Mathematics Examination, 1984)",4f27fad2-3523-51b4-b61b-4ddacaa77b8a,Algebra,MCQ,olympiads,D
"1. (2002 National High School Competition Question) The function $f(x)=\frac{x}{1-2^{x}}-\frac{x}{2}(\quad)$.
A. is an even function but not an odd function
B. is an odd function but not an even function
C. is both an even function and an odd function
D. is neither an even function nor an odd function",6b06df8a-67c6-5fcb-97d9-cc678fdb2756,Algebra,MCQ,olympiads,A
"5. The function $f(x)=\left\{\begin{array}{ll}1-5^{-x} & x \geq 0 \\ 5^{x}-1 & x<0\end{array}\right.$, then the function is
A. Monotonically increasing function, odd function
B. Monotonically decreasing function, even function
C. Monotonically increasing function, even function
D. Monotonically decreasing function, odd function",34774101-ae8c-58a8-98bd-12fbc827f133,Algebra,MCQ,olympiads,A
"4. Let $x \in\left(-\frac{1}{2}, 0\right)$, among the following three numbers: $a_{1}=\cos (\sin x \pi), a_{2}=\sin (\cos x \pi), a_{3}=\cos (x+1) \pi$, the size relationship is
A. $a_{3}<a_{2}<a_{1}$
B. $a_{1}<a_{3}<a_{2}$
C. $a_{3}<a_{1}<a_{2}$
D. $a_{2}<a_{3}<a_{1}$",1f8d6ced-fe48-56e9-aa29-31a9feb5c8ef,Algebra,MCQ,olympiads,A
"$127 m \in \mathbf{R}$. Planar point set
$$
\begin{array}{c}
M=\left\{(x, y) \mid y^{2}=x-1\right\}, \\
N=\left\{(x, y) \mid y=2 x-2 m^{2}+m-2\right\},
\end{array}
$$

Then the number of elements contained in the set $M \cap N$ is
A. 0 or 1 or 2
B. 0 or 1
C. 0
D. 1 or 2",cd8c93e1-8bbc-5744-b7b7-f1573085aea5,Algebra,MCQ,olympiads,D
"(1) To obtain the graph of the function $y=\sin \left(2 x-\frac{\pi}{6}\right)$, the graph of the function $y=\cos 2 x$ can be ( ).
(A) shifted to the right by $\frac{\pi}{6}$ units
(B) shifted to the right by $\frac{\pi}{3}$ units
(C) shifted to the left by $\frac{\pi}{6}$ units
(D) shifted to the left by $\frac{\pi}{3}$ units",9d905766-fa5b-5547-9f5c-7ba5f1af93e6,Algebra,MCQ,olympiads,B
"5.3 Given $a b c \neq 0$, and $\frac{a+b}{c}=\frac{b+c}{a}=\frac{c+a}{b}=p$. Then the line $y=p x+p$ must pass through
(A) the first and second quadrants.
(B) the second and third quadrants.
(C) the third and fourth quadrants.
(D) the first and fourth quadrants.
(China Junior High School Mathematics League, 1998)",6c0b4852-7acf-5b98-96d6-f756d64dd4b3,Algebra,MCQ,olympiads,B
"1. $\vec{a} 、 \vec{b} 、 \vec{c}$ are three non-zero vectors, $m \in \mathbf{R}$, which of the following operations is incorrect $(\quad)$.
A. $(\vec{a}+\vec{b})+\vec{c}=\vec{c}+(\vec{b}+\vec{c})$
B. $(\vec{a}+\vec{b}) \cdot \vec{c}=\vec{a} \cdot \vec{c}+\vec{b} \cdot \vec{c}$
C. $m(\vec{a}+\vec{b})=m \vec{a}+m \vec{b}$
D. $(\vec{a} \cdot \vec{b}) \cdot \vec{c}=\vec{a} \cdot(\vec{b} \cdot \vec{c})$",dd77b7c3-1d93-5a3d-9703-b2dc6817ab56,Algebra,MCQ,olympiads,D
"If $P=1$ and $Q=2$, which of the following expressions is not equal to an integer?
(A) $P+Q$
(B) $P \times Q$
(C) $\frac{P}{Q}$
(D) $\frac{Q}{P}$
(E) $P^{Q}$",ace0fac9-82c5-5af9-a4a6-1ad3c825c917,Algebra,MCQ,olympiads,C
"5 The number of roots of the equation $\left.a x^{2}+b|x|+c=0(a, b, c \in \mathbf{R}), a \neq 0\right)$ in the set of complex numbers is $n$, then
A. $n$ is at most 2
B. $n$ is at most 4
C. $n$ is at most 6
D. $n$ is at most 8",8a00640b-080b-508f-bdaa-2952ee180053,Algebra,MCQ,olympiads,C
"For any function $y=f(x)$, in the same Cartesian coordinate system, the graphs of the functions $y=f(x-19)$ and $y=f(99-x)$ are definitely symmetric about ( ).
(A) $y$-axis
(B) line $x=19$
(C) line $x=59$
(D) line $x=9 y$

保留了原文的换行和格式，但选项 (C) 和 (D) 中的“苋线”和“胃线”在英文中没有对应的术语，因此直接翻译为“line”。如果需要更准确的表述，请提供这些术语的具体含义。",48c106f4-2ac4-5a80-8cca-03d56b802b9c,Algebra,MCQ,olympiads,C
"7. Which of the following has the largest value?
A $\frac{\left(\frac{1}{2}\right)}{\left(\frac{3}{4}\right)}$
B $\frac{1}{\left(\frac{\left(\frac{2}{3}\right)}{4}\right)}$
C $\frac{\left(\frac{\left(\frac{1}{2}\right)}{3}\right)}{4}$
E $\frac{\left(\frac{1}{\left(\frac{2}{3}\right)}\right)}{4}$",abb0ea43-4c62-57e8-9702-356d1bc1e499,Algebra,MCQ,olympiads,B
"A4. For the numbers $a=\log _{3} x$ and $b=\log _{4} x$, the following holds:
(A) $a1$
(B) $a>b$ for every $x>1$
(C) $a \neq b$ for every $x>0$
(D) $a \log 4=b \log 3$ for every $x>0$
(E) $a b=\log _{12} x$ for every $x>0$",f8302ee1-81c3-509b-af61-52c1a1a550aa,Algebra,MCQ,olympiads,B
"5. The size relationship of $\log _{\sin 1} \cos 1, \log _{\sin 1} \tan 1, \log _{\cos 1} \sin 1, \log _{\cos 1} \tan 1$ is
(A) $\log _{\text {sin } 1} \cos 1<\log _{\text {cos } 1} \sin 1<\log _{\text {sin } 1} \tan 1<\log _{\text {cos } 1} \tan 1$
(B) $\log _{\text {cos } 1} \sin 1<\log _{\text {cos } 1} \tan 1<\log _{\sin 1} \cos 1<\log _{\sin 1} \tan 1$
(C) $\log _{\text {sin } 1} \tan 1<\log _{\text {cos } 1} \tan 1<\log _{\text {cos } 1} \sin 1<\log _{\sin 1} \cos 1$
(D) $\log _{\text {cos1 }} \tan 1<\log _{\sin 1} \tan 1<\log _{\sin 1} \cos 1<\log _{\text {cos } 1} \sin 1$",076ff4bf-2b80-585d-8168-e87973901f19,Algebra,MCQ,olympiads,C
"7.97 If $k$ is a positive number, and for each positive number $x$, the function $f$ satisfies
$$
\left[f\left(x^{2}+1\right)\right]^{\sqrt{x}}=k \text {; }
$$

then for each positive number $y$, the expression $\left[f\left(\frac{9+y^{2}}{y^{2}}\right)\right]^{\sqrt{\frac{12}{y}}}$ equals
(A) $\sqrt{k}$.
(B) $2 k$.
(C) $k \sqrt{k}$.
(D) $k^{2}$.
(E) $k^{\sqrt{k}}$.
(29th American High School Mathematics Examination, 1978)",14539d65-3df9-55fb-9b44-a50884fc7155,Algebra,MCQ,olympiads,D
"Suppose $m$ and $n$ are positive integers with $m<n$. The value of $\frac{m+3}{n+3}$ will be

(A) equal to 1

(B) equal to 3

(C) less than the value of $\frac{m}{n}$

(D) greater than the value of $\frac{m}{n}$

(E) equal to the value of $\frac{m}{n}$",5966593d-3297-5a1d-9dc9-e2ae7a387bba,Algebra,MCQ,olympiads,D
"6. Let the complex number $z$ satisfy
$$
|z-| z+1||=|z+| z-1|| \text {. }
$$

Then the incorrect statement among the following is ( ).
(A) $z$ could be a pure imaginary number
(B) $z$ could be a real number
(C) The real part of $z$ is less than 2
(D) The argument of $z$ could be $\frac{\pi}{4}$",d238eada-c089-5493-a155-ab3407885c03,Algebra,MCQ,olympiads,D
"5. The size relationship of $\log _{\sin 1} \cos 1, \log _{\sin 1} \tan 1, \log _{\cos 1} \sin 1, \log _{\cos 1} \tan 1$ is
A. $\log _{\sin 1} \cos 1<\log _{\cos 1} \sin 1<\log _{\sin 1} \tan 1<\log _{\cos 1} \tan 1$
B. $\log _{\cos 1} \sin 1<\log _{\cos 1} \tan 1<\log _{\sin 1} \cos 1<\log _{\sin 1} \tan 1$
C. $\log _{\sin 1} \tan 1<\log _{\cos 1} \tan 1<\log _{\cos 1} \sin 1<\log _{\sin 1} \cos 1$
D. $\log _{\cos 1} \tan 1<\log _{\sin 1} \tan 1<\log _{\sin 1} \cos 1<\log _{\cos 1} \sin 1$",5aa2cf26-92a1-5b50-a67c-ccb6562c39c7,Algebra,MCQ,olympiads,C
"9.26 Let $x \in\left(-\frac{1}{2}, 0\right)$, then $a_{1}=\cos (\sin x \pi), a_{2}=\sin (\cos x \pi)$, $a_{3}=\cos (x+1) \pi$ have the following size relationship:
(A) $a_{3}<a_{2}<a_{1}$.
(B) $a_{1}<a_{3}<a_{2}$.
(C) $a_{3}<a_{1}<a_{2}$.
(D) $a_{2}<a_{3}<a_{1}$.
(China High School Mathematics League, 1996)",17354771-a41b-5dbb-a25e-0f3645f33b04,Algebra,MCQ,olympiads,A
"14・13 Suppose non-zero digits are selected in such a way that the probability of selecting a digit $d$ is $\lg (d+1)-\lg d$. What is the set of digits from which the probability of selecting a 2 is $-\frac{1}{2}$ of the probability of selecting a digit from the following sets?
(A) $\{2,3\}$.
(B) $\{3,4\}$.
(C) $\{4,5,6,7,8\}$.
(D) $\{5,6,7,8,9\}$.
(E) $\{4,5,6,7,8,9\}$.
(36th American High School Mathematics Examination, 1985)",b212f6e2-03b2-55c9-b639-3bb2ae50f515,Algebra,MCQ,olympiads,C
"$2 \cdot 36$ The equation $x^{2}+1993 x+3991=0$ has the following root conditions:
(A) It has positive roots.
(B) It has integer roots.
(C) The sum of the reciprocals of the roots is less than -1.
(D) None of the above.
(Huanggang Region, Hubei Province, China Junior High School Mathematics Competition, 1993)",dc424225-9771-5079-b5d3-515d7179b55b,Algebra,MCQ,olympiads,D
"$30 \cdot 28$ If $x$ is a natural number, let $y=x^{4}+2 x^{3}+2 x^{2}+2 x+1$, then
(A) $y$ must be a perfect square.
(B) There are a finite number of $x$ such that $y$ is a perfect square.
(C) $y$ must not be a perfect square.
(D) There are infinitely many $x$ such that $y$ is a perfect square.
(China Partial Provinces and Cities Junior High School Mathematics Correspondence Competition, 1990)",887ceaa9-7371-59ea-bfe4-a980a5f2ff1d,Algebra,MCQ,olympiads,C
"6. If $F\left(\frac{1-x}{1+x}\right)=x$, then which of the following equations is correct?
A. $F(-2-x)=-2-F(x)$
B. $F(-x)=F\left(\frac{1+x}{1-x}\right)$
C. $F\left(x^{-1}\right)=F(x)$
D. $F(F(x))=-x$",c4eb169e-f46d-513b-92ca-e6dd74f50a55,Algebra,MCQ,olympiads,A
"6. Under the constraint conditions $\left\{\begin{array}{l}x \geqslant 0 \\ y \geqslant 0 \\ x+y \leqslant s \\ y+2 x \leqslant 4\end{array}\right.$, when $3 \leqslant s \leqslant 5$, the range of the maximum value of the objective function $z=3 x+2 y$ is
A. $[6,15]$
B. $[7,15]$
C. $[6,8]$
D. $[7,8]$",f041e13f-5c34-593d-a4af-147f60e25fb3,Algebra,MCQ,olympiads,D
"Of the following five statements, how many are correct?
(i) $20 \%$ of $40=8$
(ii) $2^{3}=8$
(iii) $7-3 \times 2=8$
(iv) $3^{2}-1^{2}=8$
(v) $2(6-4)^{2}=8$
(A) 1
(B) 2
(C) 3
(D) 4
(E) 5",9c4772de-5ca7-59b5-bbb7-8cbd7d191e05,Algebra,MCQ,olympiads,D
"2. The equation $|2 x-5|+|3 x-7|+|5 x-11|=\frac{2015}{2016}$ has $\qquad$ real roots.
A. 0
B. 1
C. 2
D. 3 or more than 3",cc939de8-3d25-5a54-97bd-2fa450e04eb2,Algebra,MCQ,olympiads,A
"(1) If the graph of the function $y=f(x)$ is rotated $90^{\circ}$ clockwise around the origin, and it coincides with the graph of the function $y=$ $g(x)$, then ( ).
(A) $g(x)=f^{-1}(-x)$
(B) $g(x)=f^{-1}(x)$
(C) $g(x)=-f^{-1}(-x)$
(D) $g(x)=-f^{-1}(x)$",3ee9abd8-429d-5b1c-9f75-f512ab2a959d,Algebra,MCQ,olympiads,D
"1. (8 points) Which of the following expressions equals 500? ( )
A. $5 \times 99+1$
B. $100+25 \times 4$
C. $88 \times 4+37 \times 4$
D. $100 \times 0 \times 5$",dca27145-5126-57a3-9f70-f8ee72e663cb,Algebra,MCQ,olympiads,C
"8. Let $\left\{a_{n}\right\}$ be an arithmetic sequence with the sum of the first $n$ terms denoted as $S_{n}$. It is known that $\left(a_{6}-1\right)^{3}+2013\left(a_{6}-1\right)^{3}=1$, $\left(a_{2008}-1\right)^{3}=2013\left(a_{2008}-1\right)^{3}=-1$, then which of the following conclusions is correct?
A. $S_{2013}=2013, a_{2008}a_{6}$
C. $S_{2013}=-2013, a_{2008} \leqslant a_{6}$
D. $S_{2013}=-2013, a_{2008} \geqslant a_{6}$",35379a57-96e9-5e45-91bb-5c8949ef8207,Algebra,MCQ,olympiads,A
"A2 Which of the following properties does the function $f$ with the rule $f(x)=2(x-1)-4$ have?
(A) The function is decreasing.
(B) The initial value of the function is -4.
(C) The slope of the function is 2.
(D) The graph of the function intersects the x-axis at $x=-6$.
(E) The function is positive for all real numbers.",de20f66a-b4b1-57ce-8fca-ae0bfa87aa2d,Algebra,MCQ,olympiads,C
"3.17 A man sold two cigarette holders, each for $1.20, and on one he gained $20 \%$, while on the other he lost $20 \%$. On the whole sale, he
(A) broke even.
(B) lost 4 cents.
(C) gained 4 cents.
(D) lost 10 cents.
(E) gained 10 cents.
(7th American High School Mathematics Examination, 1956)",4a4e52a0-10f5-5b5e-ad0a-34cb2e0c816a,Algebra,MCQ,olympiads,D
"1. The function with the range $\mathbf{R}^{+}$ is
A. $y=5^{\frac{1}{2-1}}$
B. $y=\left(\frac{1}{3}\right)^{1-x}$
C. $y=\sqrt{\left(\frac{1}{2}\right)^{x}-1}$
D. $y=\sqrt{1-2^{x}}$",cce5c927-d73f-5b88-b791-2cc354527729,Algebra,MCQ,olympiads,B
"15. Today Rachel realised the following facts were true: in two years' time her brother Tim will be twice as old as he was two years ago and in three years' time her sister Tina will be three times as old as she was three years ago.
Which of the following statements is also true?
A Tim is two years older than Tina
D Tim is one year younger than Tina
B Tim is one year older than Tina
E Tim is two years younger than Tina
C Tim is the same age as Tina",3f1cf856-815e-51a6-80ee-df13aa106eb2,Algebra,MCQ,olympiads,C
"1. If $A, B$ are two interior angles of an acute $\triangle A B C$, then the point corresponding to the complex number $z=(\cos B-\sin A)+\mathrm{i}(\sin B-\cos A)$ in the complex plane is located in
A. the first quadrant
B. the second quadrant
C. the third quadrant
D. the fourth quadrant",e0f80cf8-8137-5309-99df-2fa7f1208e97,Algebra,MCQ,olympiads,B
